iter	Passed	Remaining
0	4	4868
1	7	3977
2	11	3699
3	13	3450
4	17	3427
5	20	3348
6	23	3307
7	26	3318
8	29	3271
9	32	3209
10	35	3203
11	38	3186
12	41	3160
13	44	3150
14	48	3159
15	51	3157
16	54	3171
17	57	3153
18	61	3180
19	64	3158
20	67	3150
21	71	3159
22	74	3156
23	78	3179
24	81	3176
25	84	3153
26	87	3148
27	90	3144
28	93	3144
29	96	3133
30	100	3131
31	103	3122
32	105	3105
33	108	3090
34	111	3071
35	114	3053
36	116	3041
37	119	3029
38	122	3025
39	126	3035
40	129	3025
41	132	3015
42	135	3005
43	137	2993
44	140	2979
45	143	2973
46	146	2976
47	149	2973
48	153	2970
49	155	2958
50	159	2963
51	161	2953
52	165	2948
53	167	2942
54	170	2933
55	173	2931
56	177	2937
57	180	2934
58	183	2929
59	186	2921
60	189	2920
61	192	2911
62	195	2901
63	197	2894
64	201	2899
65	204	2894
66	207	2887
67	211	2892
68	213	2883
69	216	2874
70	219	2866
71	221	2859
72	224	2852
73	227	2844
74	229	2836
75	232	2831
76	235	2823
77	238	2817
78	241	2812
79	244	2806
80	246	2799
81	249	2797
82	253	2796
83	256	2796
84	259	2788
85	262	2785
86	265	2784
87	268	2782
88	271	2776
89	273	2769
90	277	2769
91	280	2768
92	283	2765
93	286	2761
94	290	2762
95	293	2763
96	296	2760
97	299	2757
98	302	2755
99	305	2752
100	309	2750
101	312	2749
102	316	2752
103	319	2754
104	325	2772
105	328	2769
106	331	2768
107	334	2766
108	337	2760
109	340	2756
110	343	2751
111	346	2748
112	349	2742
113	352	2735
114	354	2731
115	358	2730
116	360	2723
117	364	2722
118	366	2715
119	369	2711
120	372	2709
121	375	2703
122	378	2697
123	381	2692
124	383	2686
125	386	2682
126	389	2677
127	392	2675
128	395	2671
129	398	2666
130	401	2660
131	404	2656
132	406	2650
133	409	2644
134	412	2641
135	415	2637
136	417	2631
137	420	2627
138	423	2622
139	426	2617
140	428	2612
141	431	2610
142	435	2610
143	438	2606
144	441	2604
145	444	2601
146	447	2597
147	450	2591
148	453	2589
149	456	2585
150	458	2579
151	461	2575
152	465	2574
153	467	2569
154	470	2566
155	474	2565
156	476	2561
157	480	2559
158	482	2553
159	486	2552
160	488	2546
161	491	2541
162	494	2537
163	497	2536
164	500	2532
165	503	2527
166	505	2523
167	508	2519
168	511	2517
169	514	2511
170	517	2506
171	520	2505
172	523	2500
173	525	2495
174	528	2492
175	531	2487
176	534	2487
177	537	2482
178	540	2477
179	543	2473
180	545	2468
181	548	2464
182	551	2461
183	553	2456
184	556	2451
185	559	2447
186	562	2443
187	565	2441
188	568	2437
189	570	2432
190	573	2427
191	576	2427
192	579	2422
193	582	2418
194	585	2415
195	587	2410
196	590	2405
197	593	2402
198	595	2397
199	598	2395
200	601	2392
201	604	2388
202	607	2383
203	610	2380
204	612	2376
205	615	2373
206	618	2368
207	620	2363
208	623	2360
209	626	2358
210	629	2354
211	632	2350
212	635	2347
213	638	2345
214	641	2342
215	644	2337
216	646	2333
217	649	2330
218	652	2326
219	655	2324
220	658	2322
221	661	2318
222	664	2315
223	667	2311
224	670	2307
225	672	2303
226	675	2299
227	677	2295
228	680	2291
229	683	2288
230	685	2283
231	688	2279
232	691	2277
233	694	2273
234	697	2269
235	700	2266
236	702	2262
237	705	2259
238	708	2257
239	711	2253
240	714	2249
241	716	2245
242	719	2242
243	722	2238
244	726	2237
245	728	2233
246	731	2230
247	734	2227
248	737	2223
249	740	2220
250	743	2217
251	745	2214
252	748	2210
253	751	2206
254	753	2201
255	756	2198
256	759	2195
257	762	2192
258	765	2189
259	768	2186
260	771	2183
261	774	2182
262	777	2178
263	780	2176
264	783	2172
265	786	2169
266	789	2168
267	792	2164
268	795	2160
269	798	2158
270	800	2154
271	803	2151
272	806	2148
273	809	2145
274	812	2141
275	815	2138
276	817	2134
277	820	2131
278	823	2128
279	826	2124
280	829	2122
281	832	2119
282	835	2116
283	838	2113
284	841	2110
285	843	2106
286	846	2103
287	850	2101
288	853	2098
289	856	2096
290	859	2093
291	862	2090
292	865	2088
293	868	2085
294	871	2082
295	874	2079
296	877	2076
297	879	2072
298	882	2069
299	885	2066
300	888	2062
301	890	2058
302	893	2055
303	896	2052
304	899	2049
305	902	2046
306	904	2042
307	907	2038
308	910	2035
309	913	2033
310	916	2030
311	920	2028
312	922	2025
313	925	2021
314	928	2018
315	930	2014
316	934	2012
317	936	2009
318	939	2005
319	942	2003
320	945	1999
321	948	1996
322	951	1994
323	954	1990
324	956	1987
325	960	1985
326	963	1982
327	966	1979
328	969	1976
329	971	1972
330	974	1970
331	977	1966
332	980	1963
333	983	1961
334	986	1958
335	989	1954
336	992	1952
337	995	1949
338	998	1946
339	1001	1943
340	1003	1939
341	1006	1936
342	1009	1933
343	1011	1929
344	1014	1926
345	1017	1923
346	1021	1921
347	1023	1918
348	1026	1915
349	1029	1911
350	1032	1909
351	1035	1906
352	1038	1903
353	1041	1900
354	1044	1897
355	1047	1894
356	1050	1891
357	1052	1888
358	1056	1885
359	1059	1882
360	1061	1879
361	1064	1876
362	1067	1873
363	1070	1869
364	1073	1866
365	1075	1863
366	1078	1859
367	1081	1857
368	1084	1853
369	1086	1850
370	1089	1847
371	1091	1843
372	1094	1840
373	1097	1837
374	1101	1835
375	1103	1831
376	1106	1829
377	1109	1825
378	1112	1822
379	1115	1819
380	1117	1815
381	1120	1812
382	1123	1810
383	1126	1806
384	1129	1803
385	1132	1800
386	1135	1798
387	1138	1796
388	1141	1792
389	1143	1789
390	1146	1786
391	1149	1783
392	1152	1780
393	1155	1777
394	1158	1774
395	1161	1771
396	1164	1768
397	1167	1765
398	1170	1763
399	1173	1760
400	1176	1757
401	1179	1754
402	1182	1752
403	1186	1749
404	1189	1748
405	1193	1746
406	1196	1742
407	1199	1740
408	1201	1736
409	1204	1732
410	1206	1729
411	1209	1725
412	1211	1722
413	1215	1720
414	1218	1717
415	1221	1715
416	1225	1712
417	1258	1752
418	1261	1749
419	1264	1746
420	1267	1743
421	1270	1739
422	1272	1736
423	1275	1732
424	1278	1729
425	1281	1726
426	1283	1722
427	1286	1719
428	1288	1715
429	1291	1711
430	1293	1708
431	1296	1704
432	1299	1701
433	1301	1697
434	1304	1694
435	1306	1690
436	1309	1687
437	1311	1683
438	1314	1679
439	1317	1676
440	1319	1672
441	1322	1669
442	1325	1665
443	1327	1662
444	1330	1659
445	1333	1656
446	1336	1653
447	1339	1650
448	1342	1646
449	1345	1643
450	1347	1640
451	1350	1637
452	1353	1634
453	1356	1631
454	1359	1628
455	1362	1625
456	1366	1623
457	1369	1620
458	1372	1617
459	1375	1615
460	1378	1612
461	1382	1610
462	1385	1606
463	1388	1603
464	1391	1601
465	1394	1598
466	1397	1595
467	1400	1592
468	1403	1589
469	1406	1585
470	1409	1582
471	1412	1579
472	1415	1577
473	1418	1574
474	1421	1570
475	1423	1567
476	1427	1564
477	1430	1562
478	1433	1558
479	1435	1555
480	1439	1552
481	1442	1549
482	1444	1546
483	1447	1543
484	1451	1540
485	1454	1538
486	1457	1535
487	1461	1533
488	1464	1530
489	1467	1527
490	1470	1524
491	1473	1521
492	1476	1518
493	1479	1515
494	1482	1512
495	1485	1509
496	1488	1506
497	1491	1503
498	1493	1499
499	1496	1496
500	1499	1493
501	1502	1490
502	1505	1487
503	1508	1484
504	1510	1480
505	1513	1477
506	1516	1474
507	1519	1471
508	1521	1468
509	1525	1465
510	1528	1462
511	1531	1459
512	1534	1456
513	1537	1453
514	1539	1450
515	1542	1446
516	1545	1444
517	1548	1440
518	1551	1437
519	1554	1434
520	1557	1431
521	1560	1428
522	1562	1425
523	1565	1421
524	1568	1418
525	1571	1415
526	1574	1413
527	1577	1410
528	1580	1406
529	1582	1403
530	1585	1400
531	1588	1397
532	1591	1394
533	1594	1391
534	1597	1388
535	1600	1385
536	1603	1382
537	1606	1379
538	1609	1376
539	1611	1372
540	1614	1370
541	1617	1367
542	1620	1363
543	1623	1360
544	1626	1357
545	1629	1354
546	1632	1351
547	1635	1348
548	1638	1345
549	1640	1342
550	1643	1339
551	1646	1336
552	1649	1332
553	1651	1329
554	1654	1326
555	1657	1323
556	1660	1320
557	1662	1317
558	1665	1313
559	1668	1311
560	1671	1307
561	1674	1304
562	1677	1301
563	1679	1298
564	1682	1295
565	1685	1292
566	1688	1289
567	1691	1286
568	1694	1283
569	1697	1280
570	1700	1277
571	1703	1274
572	1706	1271
573	1709	1268
574	1711	1265
575	1714	1262
576	1718	1259
577	1721	1256
578	1724	1253
579	1727	1250
580	1729	1247
581	1733	1244
582	1735	1241
583	1738	1238
584	1742	1235
585	1744	1232
586	1747	1229
587	1750	1226
588	1753	1223
589	1756	1220
590	1758	1217
591	1761	1213
592	1764	1211
593	1767	1207
594	1770	1204
595	1773	1202
596	1775	1198
597	1779	1196
598	1782	1193
599	1785	1190
600	1787	1186
601	1790	1184
602	1793	1181
603	1796	1177
604	1799	1174
605	1802	1171
606	1804	1168
607	1807	1165
608	1810	1162
609	1813	1159
610	1816	1156
611	1819	1153
612	1822	1150
613	1824	1147
614	1827	1143
615	1830	1141
616	1833	1137
617	1835	1134
618	1838	1131
619	1841	1128
620	1844	1125
621	1847	1122
622	1849	1119
623	1852	1116
624	1855	1113
625	1858	1110
626	1861	1107
627	1864	1104
628	1867	1101
629	1869	1098
630	1872	1095
631	1875	1092
632	1878	1089
633	1881	1086
634	1884	1082
635	1887	1080
636	1890	1077
637	1893	1074
638	1896	1071
639	1899	1068
640	1901	1065
641	1905	1062
642	1907	1059
643	1910	1056
644	1913	1053
645	1917	1050
646	1920	1047
647	1923	1044
648	1925	1041
649	1929	1038
650	1932	1036
651	1935	1032
652	1938	1030
653	1941	1027
654	1944	1024
655	1947	1021
656	1950	1018
657	1953	1015
